id,year,year_precision,country,category,event_type,claim_text,source,source_class,status,notes,verified_batch
US-1926-1,1926,exact,US,science,first-flight/launch,"Robert Goddard launches the world's first liquid-fueled rocket at Auburn, Massachusetts.",Standard histories of rocketry; NASA and Smithsonian historical records,encyclopedic,ESTABLISHED,"Foundational to spaceflight; 2.5-second flight, ~12.5 m altitude.",1
US-1926-2,1926,exact,US,innovation,founding,NBC launches as the first permanent national radio broadcasting network in the US.,Standard broadcasting histories,encyclopedic,ESTABLISHED,RCA-owned; established the national-network model for mass media.,1
US-1927-1,1927,exact,US,science,first-flight/launch,Charles Lindbergh completes the first solo nonstop transatlantic flight (New York–Paris) in the Spirit of St. Louis.,Smithsonian NASM records; standard aviation histories,encyclopedic,ESTABLISHED,Catalyzed public and commercial confidence in aviation.,1
US-1927-2,1927,exact,US,innovation,invention,Philo Farnsworth demonstrates the first working all-electronic television image transmission.,Standard histories of television technology,encyclopedic,ESTABLISHED,"First electronic TV image, San Francisco lab, 7 Sep 1927.",1
US-1927-3,1927,exact,US,innovation,commercial-deployment,"The Jazz Singer premieres as the first feature-length film with synchronized recorded dialogue, launching the sound-film era.",Standard film histories; Vitaphone records,encyclopedic,ESTABLISHED,Ended the silent-film era; Warner Bros./Vitaphone system.,1
US-1930-1,1930,exact,US,science,discovery,"Clyde Tombaugh discovers Pluto at Lowell Observatory, the first trans-Neptunian object found.",Lowell Observatory records; standard astronomy references,encyclopedic,ESTABLISHED,Reclassified as dwarf planet in 2006; unaffected as a discovery milestone.,1
US-1931-1,1931,exact,US,infrastructure,completion,"The Empire State Building is completed in New York City, then the tallest building in the world (381 m).",Standard architectural/engineering references,encyclopedic,ESTABLISHED,Held world's-tallest title until 1970; built in ~13 months.,1
US-1931-2,1931,circa,US,science,invention,"Ernest Lawrence builds the first working cyclotron at Berkeley, enabling particle acceleration.","Standard physics histories; Nobel records (Lawrence, 1939)",encyclopedic,ESTABLISHED,First ~11 cm proof-of-concept 1930-31; larger machines followed 1932.,1
US-1933-1,1933,exact,US,governmental_economic,founding,"The Tennessee Valley Authority is established, a federal authority for regional electrification and river development.",US federal statute record; standard New Deal histories,official-national,ESTABLISHED,New Deal; both infrastructure and institution — classified by its landmark-institution significance.,1
US-1933-2,1933,exact,US,governmental_economic,milestone,The Glass–Steagall Banking Act creates federal deposit insurance (FDIC) and separates commercial and investment banking.,US federal statute record; standard economic histories,official-national,ESTABLISHED,Reshaped US financial regulation for decades; FDIC still operates.,1
US-1935-1,1935,exact,US,social,milestone,The Social Security Act establishes national old-age pensions and unemployment insurance.,US federal statute record; Social Security Administration histories,official-national,ESTABLISHED,Founding of the modern US social-insurance system.,1
US-1935-2,1935,range,US,infrastructure,completion,"Hoover Dam on the Colorado River is completed, then the world's largest concrete structure and hydroelectric dam.",US Bureau of Reclamation records,official-national,ESTABLISHED,Construction 1931–1936; dedicated Sep 1935; anchored to 1935 dedication.,1
US-1935-3,1935,exact,US,innovation,invention,"Wallace Carothers's team at DuPont first synthesizes nylon, the first fully synthetic polymer fiber.",Standard histories of materials science; DuPont records,encyclopedic,ESTABLISHED,First synthesized 1935; commercial 1938-39; founded the synthetic-fiber industry.,1
US-1935-4,1935,exact,US,innovation,first-flight/launch,"The Douglas DC-3 makes its first flight, becoming the airliner that made passenger air travel commercially viable.",Smithsonian NASM records; standard aviation histories,encyclopedic,ESTABLISHED,First flight Dec 1935; entered service 1936.,1
CN-1928-1,1928,range,China,governmental_economic,milestone,The Northern Expedition ends with nominal national reunification under the Nationalist (KMT) government seated at Nanjing.,Standard histories of Republican China,encyclopedic,ESTABLISHED,Campaign 1926–1928; anchored to 1928 completion; began the 'Nanjing decade' of partial modernization.,1
CN-1928-2,1928,exact,China,science,founding,"Academia Sinica (中央研究院), China's national academy of sciences, is founded at Nanjing.",Academia Sinica historical records; standard references,encyclopedic,ESTABLISHED,First national modern research-academy institution; both science and durable institution.,1
CN-1928-3,1928,exact,China,governmental_economic,founding,The Central Bank of China is established in Shanghai as the Nationalist government's central bank.,Standard economic histories of Republican China,encyclopedic,ESTABLISHED,Part of Nanjing-decade financial-institution building.,1
CN-1929-1,1929,exact,China,science,discovery,Pei Wenzhong discovers the first Peking Man (Homo erectus) skullcap at Zhoukoudian.,Standard paleoanthropology references,encyclopedic,ESTABLISHED,Major hominin find on Chinese soil by a Chinese scientist; specimens later lost in WWII.,1
CN-1935-1,1935,exact,China,governmental_economic,milestone,The fabi (法币) currency reform abandons the silver standard and unifies a managed national paper currency.,Standard economic histories of Republican China,encyclopedic,ESTABLISHED,"Nov 1935; a major monetary-regime shift, though later undermined by wartime inflation.",1
CN-1935-2,1935,range,China,governmental_economic,milestone,"The Chinese Communist Party's Red Army completes the Long March, consolidating Mao Zedong's leadership and the CCP's survival.",Standard histories of the Chinese Communist Party,encyclopedic,ESTABLISHED,"Oct 1934–Oct 1935; primarily a military retreat, admitted for its durable political-institutional consequence, not as a battlefield outcome.",1
CN-1930-1,1930,circa,China,industrial,milestone,"Chinese-owned cotton-textile firms (e.g., the Rong family's Shenxin mills) become the leading modern manufacturing sector in the lower Yangtze.",Standard economic histories of Republican China,independent-academic,OPEN-UNVERIFIED,"Diffuse; anchored ~1930. Included to populate the industrial category honestly, with low precision noted.",1
US-1937-1,1937,exact,US,infrastructure,completion,"The Golden Gate Bridge opens in San Francisco, then the world's longest suspension-bridge main span.",US National Park Service records; standard engineering references,official-national,ESTABLISHED,"1,280 m main span; iconic Depression-era public works.",1
US-1938-1,1938,exact,US,innovation,invention,"Chester Carlson produces the first xerographic image, inventing electrophotography (later Xerox copying).",Standard histories of technology; US patent record,encyclopedic,ESTABLISHED,"Founded the office-copying industry; commercialized by Haloid/Xerox in the 1950s-60s. || Two-anchor cross-reference: the commercial-deployment anchor of xerography is the Xerox 914 (US-1959-1, 1959); this row is the 1938 invention anchor.",2
US-1939-1,1939,exact,US,innovation,founding,"Hewlett-Packard is founded in Palo Alto, an origin point of what became Silicon Valley.",Standard business/technology histories,encyclopedic,ESTABLISHED,First product an audio oscillator; archetypal garage startup.,2
US-1942-1,1942,exact,US,science,invention,"Enrico Fermi's team achieves the first controlled, self-sustaining nuclear chain reaction (Chicago Pile-1).",Standard physics histories; US Manhattan Project records,encyclopedic,ESTABLISHED,"Dec 2, 1942; foundational to both nuclear power and weapons.",2
US-1942-2,1942,circa,US,infrastructure,completion,"Grand Coulee Dam on the Columbia River is completed, the largest concrete structure and hydroelectric plant in the US.",US Bureau of Reclamation records,official-national,ESTABLISHED,Main dam completed 1942; first power 1941; anchored to 1942 completion.,2
